fixture_id,league,match_date,home_team,away_team,status
1049494,Fortuna League,2023-07-22T13:00:00+00:00,Karviná,Zlin,FT
1049495,Fortuna League,2023-07-22T13:00:00+00:00,Teplice,Plzen,FT
1049493,Fortuna League,2023-07-22T13:00:00+00:00,Pardubice,Bohemians 1905,FT
1049496,Fortuna League,2023-07-22T16:00:00+00:00,Slavia Praha,Hradec Králové,FT
1049497,Fortuna League,2023-07-23T13:00:00+00:00,Mlada Boleslav,FK Jablonec,FT
1049498,Fortuna League,2023-07-23T13:00:00+00:00,Slovan Liberec,Baník Ostrava,FT
1049499,Fortuna League,2023-07-23T13:00:00+00:00,Slovácko,České Budějovice,FT
1049500,Fortuna League,2023-07-23T16:00:00+00:00,Sparta Praha,Sigma Olomouc,FT
1049502,Fortuna League,2023-07-29T13:00:00+00:00,Zlin,Sparta Praha,FT
1049501,Fortuna League,2023-07-29T13:00:00+00:00,Sigma Olomouc,Karviná,FT
1049503,Fortuna League,2023-07-29T13:00:00+00:00,Pardubice,FK Jablonec,FT
1049504,Fortuna League,2023-07-29T16:00:00+00:00,Baník Ostrava,Slovácko,FT
1049507,Fortuna League,2023-07-30T13:00:00+00:00,Mlada Boleslav,Slovan Liberec,FT
1049506,Fortuna League,2023-07-30T13:00:00+00:00,Bohemians 1905,Teplice,FT
1049505,Fortuna League,2023-07-30T13:00:00+00:00,České Budějovice,Slavia Praha,FT
1049508,Fortuna League,2023-07-30T16:00:00+00:00,Plzen,Hradec Králové,FT
1049509,Fortuna League,2023-08-05T13:00:00+00:00,Sparta Praha,Pardubice,FT
1049510,Fortuna League,2023-08-05T13:00:00+00:00,Karviná,Mlada Boleslav,FT
1049511,Fortuna League,2023-08-05T13:00:00+00:00,Slovácko,Sigma Olomouc,FT
1049512,Fortuna League,2023-08-05T16:00:00+00:00,Hradec Králové,České Budějovice,FT
1049513,Fortuna League,2023-08-06T13:00:00+00:00,Plzen,Baník Ostrava,FT
1049515,Fortuna League,2023-08-06T13:00:00+00:00,Slovan Liberec,Bohemians 1905,FT
1049514,Fortuna League,2023-08-06T13:00:00+00:00,Teplice,FK Jablonec,FT
1049516,Fortuna League,2023-08-06T16:00:00+00:00,Slavia Praha,Zlin,FT
1049518,Fortuna League,2023-08-12T13:00:00+00:00,Zlin,Slovan Liberec,FT
1049517,Fortuna League,2023-08-12T13:00:00+00:00,Baník Ostrava,Hradec Králové,FT
1049520,Fortuna League,2023-08-12T16:00:00+00:00,FK Jablonec,Sparta Praha,FT
